case_id,case_type,description,urgency_level,social_impact,past_delays,duration,priority
CASE-1374,Criminal,Case related to contract in Criminal matters.,3,3,3,594,Medium
CASE-1375,Criminal,Case related to divorce in Criminal matters.,1,2,3,359,Low
CASE-1376,Commercial,Case related to fine in Commercial matters.,1,2,4,569,Low
CASE-1377,Family,Case related to emergency in Family matters.,5,1,9,325,High
CASE-1378,Traffic,Case related to license in Traffic matters.,1,3,2,111,Low
CASE-1379,Civil,Case related to license in Civil matters.,1,2,2,420,Low
CASE-1380,Commercial,Case related to inheritance in Commercial matters.,3,1,5,849,Medium
CASE-1381,Family,Case related to rape in Family matters.,6,4,0,203,High
CASE-1382,Civil,Case related to divorce in Civil matters.,2,4,4,526,Low
CASE-1383,Civil,Case related to protection in Civil matters.,6,4,7,424,High
CASE-1384,Traffic,Case related to fraud in Traffic matters.,5,3,10,282,High
CASE-1385,Commercial,Case related to noise in Commercial matters.,2,4,4,664,Low
CASE-1386,Criminal,Case related to murder in Criminal matters.,5,1,6,276,High
CASE-1387,Criminal,Case related to emergency in Criminal matters.,5,2,2,304,High
CASE-1388,Commercial,Case related to medical in Commercial matters.,5,3,0,457,High
CASE-1389,Commercial,Case related to emergency in Commercial matters.,6,4,9,545,High
CASE-1390,Criminal,Case related to traffic in Criminal matters.,1,3,0,354,Low
CASE-1391,Traffic,Case related to rape in Traffic matters.,5,1,5,133,High
CASE-1392,Family,Case related to permit in Family matters.,1,3,8,341,Low
CASE-1393,Family,Case related to merger in Family matters.,4,5,3,454,Medium
CASE-1394,Civil,Case related to medical in Civil matters.,5,2,3,318,High
CASE-1395,Civil,Case related to bail in Civil matters.,5,2,3,319,High
CASE-1396,Civil,Case related to intellectual in Civil matters.,3,1,8,749,Medium
CASE-1397,Civil,Case related to threat in Civil matters.,6,5,6,448,High
CASE-1398,Civil,Case related to license in Civil matters.,2,5,1,522,Low
CASE-1399,Traffic,Case related to property in Traffic matters.,3,3,7,298,Medium
CASE-1400,Family,Case related to permit in Family matters.,1,1,1,250,Low
CASE-1401,Traffic,Case related to tax in Traffic matters.,3,2,0,139,Medium
CASE-1402,Traffic,Case related to fraud in Traffic matters.,5,2,4,93,High
CASE-1403,Civil,Case related to contract in Civil matters.,3,2,7,775,Medium
CASE-1404,Commercial,Case related to permit in Commercial matters.,1,2,10,727,Low
CASE-1405,Commercial,Case related to noise in Commercial matters.,1,1,9,684,Low
CASE-1406,Criminal,Case related to tax in Criminal matters.,4,4,10,691,Medium
CASE-1407,Family,Case related to divorce in Family matters.,1,1,9,381,Low
CASE-1408,Traffic,Case related to fraud in Traffic matters.,5,3,2,129,High
CASE-1409,Civil,Case related to medical in Civil matters.,5,1,2,310,High
CASE-1410,Traffic,Case related to murder in Traffic matters.,5,3,6,164,High
CASE-1411,Commercial,Case related to protection in Commercial matters.,5,1,7,462,High
CASE-1412,Civil,Case related to fraud in Civil matters.,6,5,4,409,High
CASE-1413,Commercial,Case related to protection in Commercial matters.,6,5,9,538,High
CASE-1414,Civil,Case related to traffic in Civil matters.,2,4,5,554,Low
CASE-1415,Family,Case related to rape in Family matters.,5,1,2,221,High
CASE-1416,Traffic,Case related to medical in Traffic matters.,5,2,6,132,High
CASE-1417,Civil,Case related to dispute in Civil matters.,3,2,9,750,Medium
CASE-1418,Commercial,Case related to medical in Commercial matters.,6,4,0,439,High
CASE-1419,Traffic,Case related to inheritance in Traffic matters.,3,1,4,220,Medium
CASE-1420,Commercial,Case related to inheritance in Commercial matters.,4,5,7,993,Medium
CASE-1421,Criminal,Case related to bail in Criminal matters.,5,3,7,368,High
CASE-1422,Traffic,Case related to inheritance in Traffic matters.,4,4,2,169,Medium
CASE-1423,Traffic,Case related to divorce in Traffic matters.,1,2,4,204,Low
CASE-1424,Traffic,Case related to dispute in Traffic matters.,3,1,1,131,Medium
CASE-1425,Criminal,Case related to bail in Criminal matters.,5,3,6,401,High
CASE-1426,Criminal,Case related to fine in Criminal matters.,2,5,0,375,Low
CASE-1427,Traffic,Case related to intellectual in Traffic matters.,4,5,9,308,Medium
CASE-1428,Family,Case related to property in Family matters.,3,3,8,501,Medium
CASE-1429,Traffic,Case related to mutual in Traffic matters.,1,3,2,123,Low
CASE-1430,Traffic,Case related to intellectual in Traffic matters.,3,2,0,103,Medium
CASE-1431,Civil,Case related to property in Civil matters.,4,4,7,828,Medium
CASE-1432,Civil,Case related to rape in Civil matters.,5,3,0,308,High
CASE-1433,Civil,Case related to merger in Civil matters.,4,5,3,754,Medium
CASE-1434,Civil,Case related to fine in Civil matters.,2,5,7,612,Low
CASE-1435,Family,Case related to fraud in Family matters.,6,4,0,224,High
CASE-1436,Family,Case related to license in Family matters.,1,1,4,239,Low
CASE-1437,Commercial,Case related to contract in Commercial matters.,4,5,4,913,Medium
CASE-1438,Traffic,Case related to rape in Traffic matters.,6,4,0,167,High
CASE-1439,Civil,Case related to permit in Civil matters.,1,3,9,547,Low
CASE-1440,Family,Case related to tax in Family matters.,3,3,7,480,Medium
CASE-1441,Family,Case related to tax in Family matters.,3,3,2,367,Medium
CASE-1442,Civil,Case related to tax in Civil matters.,3,1,2,635,Medium
CASE-1443,Commercial,Case related to noise in Commercial matters.,1,3,9,667,Low
CASE-1444,Commercial,Case related to property in Commercial matters.,3,2,9,939,Medium
CASE-1445,Civil,Case related to intellectual in Civil matters.,3,3,10,859,Medium
CASE-1446,Civil,Case related to rape in Civil matters.,6,5,5,467,High
CASE-1447,Family,Case related to mutual in Family matters.,1,1,4,293,Low
CASE-1448,Traffic,Case related to fine in Traffic matters.,2,5,7,273,Low
CASE-1449,Traffic,Case related to contract in Traffic matters.,3,2,4,228,Medium
CASE-1450,Traffic,Case related to emergency in Traffic matters.,6,5,6,215,High
CASE-1451,Traffic,Case related to permit in Traffic matters.,2,4,10,330,Low
CASE-1452,Family,Case related to kidnap in Family matters.,6,4,10,329,High
CASE-1453,Criminal,Case related to threat in Criminal matters.,6,5,5,346,High
CASE-1454,Criminal,Case related to protection in Criminal matters.,6,4,4,372,High
CASE-1455,Family,Case related to tax in Family matters.,3,1,1,285,Medium
CASE-1456,Civil,Case related to divorce in Civil matters.,1,3,9,549,Low
CASE-1457,Family,Case related to dispute in Family matters.,3,1,9,470,Medium
CASE-1458,Criminal,Case related to rape in Criminal matters.,5,1,1,235,High
CASE-1459,Criminal,Case related to mutual in Criminal matters.,2,5,3,428,Low
CASE-1460,Commercial,Case related to fraud in Commercial matters.,5,3,8,552,High
CASE-1461,Civil,Case related to merger in Civil matters.,4,5,4,735,Medium
CASE-1462,Traffic,Case related to contract in Traffic matters.,3,3,1,130,Medium
CASE-1463,Family,Case related to medical in Family matters.,5,3,8,365,High
CASE-1464,Family,Case related to threat in Family matters.,5,2,3,256,High
CASE-1465,Criminal,Case related to merger in Criminal matters.,3,2,3,512,Medium
CASE-1466,Family,Case related to permit in Family matters.,1,2,4,269,Low
CASE-1467,Commercial,Case related to tax in Commercial matters.,4,4,3,914,Medium
CASE-1468,Criminal,Case related to merger in Criminal matters.,3,3,4,536,Medium
CASE-1469,Criminal,Case related to license in Criminal matters.,1,3,5,450,Low
CASE-1470,Commercial,Case related to corporate in Commercial matters.,3,1,1,764,Medium
CASE-1471,Commercial,Case related to bail in Commercial matters.,5,1,4,405,High
CASE-1472,Civil,Case related to rape in Civil matters.,6,5,9,485,High
CASE-1473,Family,Case related to threat in Family matters.,5,2,4,213,High
CASE-1474,Civil,Case related to bail in Civil matters.,5,2,10,488,High
CASE-1475,Criminal,Case related to dispute in Criminal matters.,4,4,5,609,Medium
CASE-1476,Criminal,Case related to dispute in Criminal matters.,4,5,6,688,Medium
CASE-1477,Traffic,Case related to inheritance in Traffic matters.,4,4,1,196,Medium
CASE-1478,Commercial,Case related to divorce in Commercial matters.,1,2,7,604,Low
CASE-1479,Traffic,Case related to emergency in Traffic matters.,5,1,4,105,High
CASE-1480,Traffic,Case related to fine in Traffic matters.,1,1,3,142,Low
CASE-1481,Criminal,Case related to bail in Criminal matters.,5,2,5,345,High
CASE-1482,Civil,Case related to fine in Civil matters.,2,5,9,661,Low
CASE-1483,Family,Case related to merger in Family matters.,4,5,1,399,Medium
CASE-1484,Criminal,Case related to dispute in Criminal matters.,3,2,8,608,Medium
CASE-1485,Family,Case related to mutual in Family matters.,1,2,1,305,Low
CASE-1486,Family,Case related to bail in Family matters.,5,3,10,302,High
CASE-1487,Commercial,Case related to bail in Commercial matters.,5,1,8,508,High
CASE-1488,Traffic,Case related to dispute in Traffic matters.,3,3,10,264,Medium
CASE-1489,Traffic,Case related to corporate in Traffic matters.,4,5,5,271,Medium
CASE-1490,Civil,Case related to fraud in Civil matters.,6,5,1,385,High
CASE-1491,Commercial,Case related to rape in Commercial matters.,6,4,0,409,High
CASE-1492,Criminal,Case related to intellectual in Criminal matters.,4,5,4,579,Medium
CASE-1493,Commercial,Case related to mutual in Commercial matters.,1,1,2,565,Low
CASE-1494,Commercial,Case related to tax in Commercial matters.,3,1,3,846,Medium
CASE-1495,Civil,Case related to property in Civil matters.,3,2,5,698,Medium
CASE-1496,Civil,Case related to contract in Civil matters.,3,1,8,771,Medium
CASE-1497,Civil,Case related to protection in Civil matters.,6,4,3,378,High
CASE-1498,Civil,Case related to corporate in Civil matters.,3,1,6,695,Medium
CASE-1499,Commercial,Case related to medical in Commercial matters.,5,3,7,470,High
CASE-1500,Family,Case related to rape in Family matters.,6,5,0,261,High
CASE-1501,Traffic,Case related to merger in Traffic matters.,4,4,6,292,Medium
CASE-1502,Commercial,Case related to medical in Commercial matters.,5,1,9,469,High
CASE-1503,Civil,Case related to fraud in Civil matters.,5,1,1,275,High
CASE-1504,Family,Case related to corporate in Family matters.,3,1,3,337,Medium
CASE-1505,Civil,Case related to inheritance in Civil matters.,3,1,7,712,Medium
CASE-1506,Civil,Case related to merger in Civil matters.,3,3,1,681,Medium
CASE-1507,Criminal,Case related to intellectual in Criminal matters.,3,1,7,540,Medium
CASE-1508,Criminal,Case related to fine in Criminal matters.,1,2,6,444,Low
CASE-1509,Traffic,Case related to mutual in Traffic matters.,2,5,10,262,Low
CASE-1510,Civil,Case related to mutual in Civil matters.,1,1,6,544,Low
CASE-1511,Criminal,Case related to inheritance in Criminal matters.,4,5,0,506,Medium
CASE-1512,Traffic,Case related to property in Traffic matters.,4,4,10,344,Medium
CASE-1513,Civil,Case related to traffic in Civil matters.,2,4,1,452,Low
CASE-1514,Traffic,Case related to intellectual in Traffic matters.,4,4,4,234,Medium
CASE-1515,Civil,Case related to traffic in Civil matters.,1,3,1,523,Low
CASE-1516,Commercial,Case related to intellectual in Commercial matters.,3,1,6,825,Medium
CASE-1517,Civil,Case related to murder in Civil matters.,5,1,4,409,High
CASE-1518,Commercial,Case related to rape in Commercial matters.,6,5,2,445,High
CASE-1519,Family,Case related to contract in Family matters.,4,4,2,368,Medium
CASE-1520,Traffic,Case related to license in Traffic matters.,1,2,4,117,Low
CASE-1521,Commercial,Case related to protection in Commercial matters.,6,4,10,588,High
CASE-1522,Criminal,Case related to fine in Criminal matters.,1,3,3,391,Low
CASE-1523,Criminal,Case related to license in Criminal matters.,1,1,3,362,Low
CASE-1524,Family,Case related to bail in Family matters.,6,4,2,295,High
CASE-1525,Commercial,Case related to contract in Commercial matters.,3,2,8,871,Medium
CASE-1526,Family,Case related to corporate in Family matters.,3,1,8,445,Medium
CASE-1527,Criminal,Case related to noise in Criminal matters.,1,2,0,381,Low
CASE-1528,Family,Case related to permit in Family matters.,2,4,10,456,Low
CASE-1529,Civil,Case related to dispute in Civil matters.,3,1,3,660,Medium
CASE-1530,Family,Case related to traffic in Family matters.,2,4,3,333,Low
CASE-1531,Commercial,Case related to emergency in Commercial matters.,5,3,7,510,High
CASE-1532,Civil,Case related to traffic in Civil matters.,1,1,3,483,Low
CASE-1533,Criminal,Case related to medical in Criminal matters.,5,2,6,310,High
CASE-1534,Traffic,Case related to divorce in Traffic matters.,2,5,7,287,Low
CASE-1535,Traffic,Case related to corporate in Traffic matters.,3,2,9,279,Medium
CASE-1536,Criminal,Case related to contract in Criminal matters.,3,1,2,523,Medium
CASE-1537,Family,Case related to rape in Family matters.,6,5,3,245,High
CASE-1538,Traffic,Case related to merger in Traffic matters.,3,3,6,209,Medium
CASE-1539,Commercial,Case related to noise in Commercial matters.,1,1,6,657,Low
CASE-1540,Commercial,Case related to corporate in Commercial matters.,4,4,1,885,Medium
CASE-1541,Commercial,Case related to protection in Commercial matters.,6,5,1,472,High
CASE-1542,Commercial,Case related to dispute in Commercial matters.,3,1,5,884,Medium
CASE-1543,Commercial,Case related to divorce in Commercial matters.,2,5,10,706,Low
CASE-1544,Commercial,Case related to merger in Commercial matters.,4,5,1,890,Medium
CASE-1545,Commercial,Case related to fine in Commercial matters.,1,2,9,648,Low
CASE-1546,Family,Case related to corporate in Family matters.,4,4,2,424,Medium
CASE-1547,Commercial,Case related to fraud in Commercial matters.,5,3,9,511,High
CASE-1548,Criminal,Case related to dispute in Criminal matters.,4,5,3,634,Medium
CASE-1549,Commercial,Case related to fine in Commercial matters.,2,4,0,624,Low
CASE-1550,Family,Case related to contract in Family matters.,4,5,10,533,Medium
CASE-1551,Commercial,Case related to fine in Commercial matters.,2,5,3,686,Low
CASE-1552,Traffic,Case related to bail in Traffic matters.,6,5,8,300,High
CASE-1553,Commercial,Case related to license in Commercial matters.,1,3,10,718,Low
CASE-1554,Traffic,Case related to merger in Traffic matters.,3,3,7,298,Medium
CASE-1555,Commercial,Case related to emergency in Commercial matters.,6,5,3,474,High
CASE-1556,Civil,Case related to license in Civil matters.,2,5,8,629,Low
CASE-1557,Criminal,Case related to inheritance in Criminal matters.,4,5,9,660,Medium
CASE-1558,Criminal,Case related to contract in Criminal matters.,4,4,0,544,Medium
CASE-1559,Family,Case related to noise in Family matters.,2,4,3,344,Low
CASE-1560,Traffic,Case related to license in Traffic matters.,1,1,9,216,Low
CASE-1561,Civil,Case related to corporate in Civil matters.,4,4,4,760,Medium
CASE-1562,Commercial,Case related to license in Commercial matters.,1,2,1,514,Low
CASE-1563,Commercial,Case related to protection in Commercial matters.,5,1,7,458,High
CASE-1564,Traffic,Case related to permit in Traffic matters.,2,5,10,270,Low
CASE-1565,Criminal,Case related to traffic in Criminal matters.,2,4,6,459,Low
CASE-1566,Civil,Case related to threat in Civil matters.,5,3,7,454,High
CASE-1567,Family,Case related to mutual in Family matters.,2,5,3,380,Low
CASE-1568,Criminal,Case related to dispute in Criminal matters.,3,3,4,539,Medium
CASE-1569,Family,Case related to intellectual in Family matters.,4,5,9,486,Medium
CASE-1570,Civil,Case related to tax in Civil matters.,3,2,4,711,Medium
CASE-1571,Civil,Case related to medical in Civil matters.,6,5,4,406,High
CASE-1572,Commercial,Case related to medical in Commercial matters.,5,1,2,373,High
CASE-1573,Commercial,Case related to traffic in Commercial matters.,2,4,9,740,Low
CASE-1574,Commercial,Case related to traffic in Commercial matters.,2,5,2,679,Low
CASE-1575,Family,Case related to permit in Family matters.,1,3,6,329,Low
CASE-1576,Criminal,Case related to dispute in Criminal matters.,3,2,3,490,Medium
CASE-1577,Civil,Case related to rape in Civil matters.,5,1,2,347,High
CASE-1578,Criminal,Case related to intellectual in Criminal matters.,3,3,9,603,Medium
CASE-1579,Commercial,Case related to divorce in Commercial matters.,1,3,7,703,Low
CASE-1580,Criminal,Case related to tax in Criminal matters.,3,3,8,603,Medium
CASE-1581,Commercial,Case related to kidnap in Commercial matters.,5,3,7,537,High
CASE-1582,Family,Case related to mutual in Family matters.,1,1,8,363,Low
CASE-1583,Criminal,Case related to tax in Criminal matters.,4,5,2,618,Medium
CASE-1584,Commercial,Case related to license in Commercial matters.,1,2,7,644,Low
CASE-1585,Civil,Case related to traffic in Civil matters.,1,2,8,520,Low
CASE-1586,Civil,Case related to inheritance in Civil matters.,4,4,5,792,Medium
CASE-1587,Civil,Case related to fine in Civil matters.,1,2,5,469,Low
CASE-1588,Traffic,Case related to traffic in Traffic matters.,2,4,8,242,Low
CASE-1589,Commercial,Case related to threat in Commercial matters.,6,5,5,547,High
CASE-1590,Commercial,Case related to threat in Commercial matters.,5,3,10,605,High
CASE-1591,Civil,Case related to divorce in Civil matters.,2,5,8,573,Low
CASE-1592,Family,Case related to dispute in Family matters.,3,3,3,399,Medium
CASE-1593,Criminal,Case related to permit in Criminal matters.,2,5,10,560,Low
CASE-1594,Commercial,Case related to mutual in Commercial matters.,2,5,7,679,Low
CASE-1595,Criminal,Case related to rape in Criminal matters.,6,5,2,383,High
CASE-1596,Traffic,Case related to inheritance in Traffic matters.,3,3,1,121,Medium
CASE-1597,Civil,Case related to noise in Civil matters.,1,1,1,410,Low
CASE-1598,Family,Case related to fraud in Family matters.,5,1,3,190,High
CASE-1599,Criminal,Case related to property in Criminal matters.,3,1,9,592,Medium
CASE-1600,Civil,Case related to fraud in Civil matters.,5,2,2,316,High
CASE-1601,Family,Case related to merger in Family matters.,4,5,3,430,Medium
CASE-1602,Criminal,Case related to threat in Criminal matters.,6,5,3,397,High
CASE-1603,Commercial,Case related to merger in Commercial matters.,3,3,5,848,Medium
CASE-1604,Traffic,Case related to mutual in Traffic matters.,1,3,3,192,Low
CASE-1605,Commercial,Case related to tax in Commercial matters.,4,4,7,982,Medium
CASE-1606,Commercial,Case related to protection in Commercial matters.,5,1,6,412,High
CASE-1607,Family,Case related to license in Family matters.,1,1,3,229,Low
CASE-1608,Family,Case related to fraud in Family matters.,5,2,10,338,High
CASE-1609,Commercial,Case related to murder in Commercial matters.,5,2,3,401,High
CASE-1610,Commercial,Case related to tax in Commercial matters.,3,3,0,854,Medium
CASE-1611,Family,Case related to corporate in Family matters.,3,3,5,459,Medium
CASE-1612,Civil,Case related to fine in Civil matters.,2,4,10,657,Low
CASE-1613,Traffic,Case related to threat in Traffic matters.,5,1,0,74,High
CASE-1614,Commercial,Case related to license in Commercial matters.,2,5,6,678,Low
CASE-1615,Traffic,Case related to protection in Traffic matters.,5,1,10,203,High
CASE-1616,Criminal,Case related to permit in Criminal matters.,1,1,4,415,Low
CASE-1617,Traffic,Case related to corporate in Traffic matters.,4,5,5,273,Medium
CASE-1618,Commercial,Case related to medical in Commercial matters.,6,4,9,569,High
CASE-1619,Criminal,Case related to threat in Criminal matters.,5,2,9,339,High
CASE-1620,Family,Case related to tax in Family matters.,3,3,4,463,Medium
CASE-1621,Civil,Case related to fraud in Civil matters.,5,2,10,451,High
CASE-1622,Family,Case related to fraud in Family matters.,5,1,10,271,High
CASE-1623,Commercial,Case related to bail in Commercial matters.,6,4,6,565,High
CASE-1624,Traffic,Case related to license in Traffic matters.,2,5,2,180,Low
CASE-1625,Criminal,Case related to mutual in Criminal matters.,1,3,2,382,Low
CASE-1626,Family,Case related to intellectual in Family matters.,3,1,10,495,Medium
CASE-1627,Criminal,Case related to medical in Criminal matters.,5,2,10,415,High
CASE-1628,Family,Case related to noise in Family matters.,2,5,10,483,Low
CASE-1629,Commercial,Case related to intellectual in Commercial matters.,4,5,4,883,Medium
CASE-1630,Traffic,Case related to noise in Traffic matters.,1,3,4,184,Low
CASE-1631,Criminal,Case related to merger in Criminal matters.,3,1,6,574,Medium
CASE-1632,Family,Case related to kidnap in Family matters.,6,4,10,403,High
CASE-1633,Traffic,Case related to noise in Traffic matters.,1,2,3,153,Low
CASE-1634,Family,Case related to merger in Family matters.,4,4,5,473,Medium
CASE-1635,Criminal,Case related to dispute in Criminal matters.,4,5,1,538,Medium
CASE-1636,Commercial,Case related to fine in Commercial matters.,1,3,5,673,Low
CASE-1637,Traffic,Case related to tax in Traffic matters.,4,5,6,294,Medium
CASE-1638,Civil,Case related to divorce in Civil matters.,1,1,8,502,Low
CASE-1639,Criminal,Case related to property in Criminal matters.,3,1,1,518,Medium
CASE-1640,Commercial,Case related to license in Commercial matters.,1,2,0,583,Low
CASE-1641,Commercial,Case related to divorce in Commercial matters.,2,5,8,759,Low
CASE-1642,Criminal,Case related to property in Criminal matters.,4,4,7,600,Medium
CASE-1643,Civil,Case related to medical in Civil matters.,5,1,5,360,High
CASE-1644,Criminal,Case related to license in Criminal matters.,2,5,1,418,Low
CASE-1645,Family,Case related to permit in Family matters.,1,2,3,260,Low
CASE-1646,Civil,Case related to fraud in Civil matters.,6,5,4,473,High
CASE-1647,Civil,Case related to intellectual in Civil matters.,4,5,5,756,Medium
CASE-1648,Commercial,Case related to divorce in Commercial matters.,1,1,1,492,Low
CASE-1649,Traffic,Case related to permit in Traffic matters.,1,3,4,228,Low
CASE-1650,Criminal,Case related to tax in Criminal matters.,3,3,1,505,Medium
CASE-1651,Commercial,Case related to dispute in Commercial matters.,4,5,6,928,Medium
CASE-1652,Traffic,Case related to inheritance in Traffic matters.,4,5,10,339,Medium
CASE-1653,Criminal,Case related to medical in Criminal matters.,6,5,8,403,High
CASE-1654,Family,Case related to fine in Family matters.,1,2,6,287,Low
CASE-1655,Commercial,Case related to corporate in Commercial matters.,3,3,10,974,Medium
CASE-1656,Commercial,Case related to corporate in Commercial matters.,3,3,7,923,Medium
CASE-1657,Civil,Case related to emergency in Civil matters.,6,5,8,544,High
CASE-1658,Criminal,Case related to permit in Criminal matters.,1,2,10,520,Low
CASE-1659,Family,Case related to property in Family matters.,4,4,6,425,Medium
CASE-1660,Commercial,Case related to intellectual in Commercial matters.,4,4,2,823,Medium
CASE-1661,Criminal,Case related to fine in Criminal matters.,1,3,7,508,Low
CASE-1662,Family,Case related to license in Family matters.,2,5,10,405,Low
CASE-1663,Civil,Case related to kidnap in Civil matters.,5,3,6,416,High
CASE-1664,Traffic,Case related to fine in Traffic matters.,1,2,8,227,Low
CASE-1665,Commercial,Case related to rape in Commercial matters.,5,2,2,416,High
CASE-1666,Traffic,Case related to kidnap in Traffic matters.,5,2,10,276,High
CASE-1667,Family,Case related to permit in Family matters.,1,3,0,259,Low
CASE-1668,Commercial,Case related to fraud in Commercial matters.,5,1,1,429,High
CASE-1669,Commercial,Case related to noise in Commercial matters.,1,3,4,653,Low
CASE-1670,Family,Case related to traffic in Family matters.,1,2,7,338,Low
CASE-1671,Civil,Case related to threat in Civil matters.,5,1,10,469,High
CASE-1672,Civil,Case related to tax in Civil matters.,4,5,2,771,Medium
CASE-1673,Criminal,Case related to mutual in Criminal matters.,2,4,8,532,Low
CASE-1674,Criminal,Case related to fine in Criminal matters.,1,3,1,334,Low
CASE-1675,Traffic,Case related to noise in Traffic matters.,1,3,3,137,Low
CASE-1676,Civil,Case related to noise in Civil matters.,1,3,8,591,Low
CASE-1677,Criminal,Case related to kidnap in Criminal matters.,5,3,1,297,High
CASE-1678,Traffic,Case related to emergency in Traffic matters.,6,5,10,302,High
CASE-1679,Civil,Case related to contract in Civil matters.,4,5,1,746,Medium
CASE-1680,Traffic,Case related to fine in Traffic matters.,2,4,10,338,Low
CASE-1681,Commercial,Case related to murder in Commercial matters.,5,2,2,388,High
CASE-1682,Traffic,Case related to property in Traffic matters.,4,4,9,294,Medium
CASE-1683,Family,Case related to noise in Family matters.,1,2,8,377,Low
CASE-1684,Commercial,Case related to inheritance in Commercial matters.,4,4,10,936,Medium
CASE-1685,Traffic,Case related to intellectual in Traffic matters.,3,2,6,192,Medium
CASE-1686,Traffic,Case related to dispute in Traffic matters.,4,5,7,324,Medium
CASE-1687,Family,Case related to noise in Family matters.,1,3,4,308,Low
CASE-1688,Family,Case related to fraud in Family matters.,5,2,6,249,High
CASE-1689,Family,Case related to kidnap in Family matters.,5,3,2,194,High
CASE-1690,Civil,Case related to emergency in Civil matters.,5,2,9,449,High
CASE-1691,Criminal,Case related to contract in Criminal matters.,3,2,8,564,Medium
CASE-1692,Traffic,Case related to intellectual in Traffic matters.,4,4,1,208,Medium
CASE-1693,Traffic,Case related to rape in Traffic matters.,5,3,10,302,High
CASE-1694,Commercial,Case related to tax in Commercial matters.,4,4,2,895,Medium
CASE-1695,Traffic,Case related to divorce in Traffic matters.,1,3,0,136,Low
CASE-1696,Family,Case related to tax in Family matters.,3,2,1,385,Medium
CASE-1697,Family,Case related to noise in Family matters.,1,1,3,271,Low
CASE-1698,Criminal,Case related to intellectual in Criminal matters.,4,5,3,562,Medium
CASE-1699,Civil,Case related to protection in Civil matters.,5,2,0,331,High
CASE-1700,Commercial,Case related to inheritance in Commercial matters.,4,4,5,916,Medium
CASE-1701,Civil,Case related to merger in Civil matters.,3,2,3,657,Medium
CASE-1702,Commercial,Case related to corporate in Commercial matters.,4,5,10,1006,Medium
CASE-1703,Criminal,Case related to threat in Criminal matters.,5,1,8,319,High
CASE-1704,Traffic,Case related to divorce in Traffic matters.,1,1,4,165,Low
CASE-1705,Criminal,Case related to permit in Criminal matters.,1,2,2,371,Low
CASE-1706,Civil,Case related to rape in Civil matters.,5,3,4,421,High
CASE-1707,Criminal,Case related to permit in Criminal matters.,1,2,1,397,Low
CASE-1708,Criminal,Case related to bail in Criminal matters.,5,1,0,209,High
CASE-1709,Family,Case related to permit in Family matters.,1,3,9,347,Low
CASE-1710,Traffic,Case related to mutual in Traffic matters.,2,4,4,192,Low
CASE-1711,Civil,Case related to tax in Civil matters.,3,1,4,683,Medium
CASE-1712,Civil,Case related to protection in Civil matters.,5,1,9,438,High
CASE-1713,Traffic,Case related to dispute in Traffic matters.,3,2,8,218,Medium
CASE-1714,Traffic,Case related to bail in Traffic matters.,6,4,10,260,High
CASE-1715,Family,Case related to mutual in Family matters.,2,4,2,301,Low
CASE-1716,Criminal,Case related to dispute in Criminal matters.,4,5,8,641,Medium
CASE-1717,Traffic,Case related to noise in Traffic matters.,1,2,8,199,Low
CASE-1718,Family,Case related to medical in Family matters.,5,2,7,335,High
CASE-1719,Civil,Case related to threat in Civil matters.,6,4,2,431,High
CASE-1720,Family,Case related to threat in Family matters.,5,2,0,159,High
CASE-1721,Civil,Case related to fine in Civil matters.,2,4,2,518,Low
CASE-1722,Civil,Case related to bail in Civil matters.,6,5,7,473,High
CASE-1723,Criminal,Case related to threat in Criminal matters.,5,2,8,376,High
CASE-1724,Commercial,Case related to inheritance in Commercial matters.,3,3,2,805,Medium
CASE-1725,Commercial,Case related to protection in Commercial matters.,6,4,2,449,High
CASE-1726,Commercial,Case related to fine in Commercial matters.,1,1,2,516,Low
CASE-1727,Family,Case related to fraud in Family matters.,5,3,5,244,High
CASE-1728,Civil,Case related to permit in Civil matters.,1,2,3,459,Low
CASE-1729,Civil,Case related to inheritance in Civil matters.,3,2,8,756,Medium
CASE-1730,Civil,Case related to medical in Civil matters.,5,2,2,323,High
CASE-1731,Traffic,Case related to corporate in Traffic matters.,3,3,5,260,Medium
CASE-1732,Family,Case related to emergency in Family matters.,5,2,10,299,High
CASE-1733,Family,Case related to dispute in Family matters.,3,2,0,318,Medium
CASE-1734,Civil,Case related to permit in Civil matters.,1,3,6,569,Low
CASE-1735,Civil,Case related to intellectual in Civil matters.,4,5,3,764,Medium
CASE-1736,Traffic,Case related to bail in Traffic matters.,6,4,7,219,High
CASE-1737,Criminal,Case related to kidnap in Criminal matters.,5,2,6,360,High
CASE-1738,Family,Case related to murder in Family matters.,6,5,2,315,High
CASE-1739,Family,Case related to property in Family matters.,4,5,6,532,Medium
CASE-1740,Civil,Case related to inheritance in Civil matters.,4,5,2,722,Medium
CASE-1741,Commercial,Case related to merger in Commercial matters.,3,3,6,929,Medium
CASE-1742,Criminal,Case related to noise in Criminal matters.,2,4,10,576,Low
CASE-1743,Civil,Case related to dispute in Civil matters.,3,2,1,627,Medium
CASE-1744,Civil,Case related to fine in Civil matters.,1,1,9,586,Low
CASE-1745,Criminal,Case related to bail in Criminal matters.,6,5,8,452,High
CASE-1746,Family,Case related to permit in Family matters.,1,2,8,355,Low
CASE-1747,Commercial,Case related to inheritance in Commercial matters.,4,4,4,930,Medium
