case_id,case_type,category,case_age_days,urgency,filing_date,duration,priority,status
CASE-2026-1350,Traffic,Financial,2376,3,2019-09-25,42,Medium,Resolved
CASE-2026-1351,Civil,Financial,1850,3,2021-03-04,586,Medium,Pending
CASE-2026-1352,Family,High Stakes,3554,3,2016-07-04,299,High,Pending
CASE-2026-1353,Commercial,High Stakes,2048,5,2020-08-18,844,High,Pending
CASE-2026-1354,Civil,High Stakes,2556,5,2019-03-29,731,High,Pending
CASE-2026-1355,Civil,Personal,180,1,2025-09-29,423,Low,Pending
CASE-2026-1356,Criminal,Routine,58,2,2026-01-29,423,Medium,Pending
CASE-2026-1357,Traffic,Public Interest,2191,5,2020-03-28,189,High,Pending
CASE-2026-1358,Criminal,Routine,1332,4,2022-08-04,375,High,Pending
CASE-2026-1359,Family,Financial,335,5,2025-04-27,469,High,Pending
CASE-2026-1360,Family,Financial,1502,3,2022-02-15,326,Medium,Pending
CASE-2026-1361,Commercial,Public Interest,720,4,2024-04-07,800,High,Pending
CASE-2026-1362,Commercial,Financial,1577,4,2021-12-02,653,High,Pending
CASE-2026-1363,Criminal,High Stakes,1941,5,2020-12-03,567,High,Pending
CASE-2026-1364,Commercial,Financial,1296,1,2022-09-09,598,Medium,Pending
CASE-2026-1365,Criminal,Routine,2994,5,2018-01-15,334,High,Pending
CASE-2026-1366,Family,High Stakes,3226,5,2017-05-28,369,High,Pending
CASE-2026-1367,Criminal,Routine,1572,4,2021-12-07,352,High,Pending
CASE-2026-1368,Family,Personal,3143,5,2017-08-19,279,High,Pending
CASE-2026-1369,Civil,Financial,1350,4,2022-07-17,561,High,Pending
CASE-2026-1370,Civil,Personal,575,4,2024-08-30,548,High,Pending
CASE-2026-1371,Commercial,Public Interest,1690,1,2021-08-11,662,Medium,Pending
CASE-2026-1372,Civil,Routine,1362,5,2022-07-05,508,High,Pending
CASE-2026-1373,Family,Financial,2858,5,2018-05-31,333,High,Resolved
CASE-2026-1374,Criminal,Personal,2840,4,2018-06-18,384,High,Pending
CASE-2026-1375,Traffic,Public Interest,849,5,2023-11-30,187,High,Resolved
CASE-2026-1376,Commercial,Routine,1919,2,2020-12-25,489,Medium,Resolved
CASE-2026-1377,Commercial,Public Interest,75,5,2026-01-12,878,High,Pending
CASE-2026-1378,Family,Personal,96,5,2025-12-22,416,High,Pending
CASE-2026-1379,Criminal,High Stakes,1038,5,2023-05-25,663,High,Pending
CASE-2026-1380,Family,Routine,555,4,2024-09-19,303,High,Pending
CASE-2026-1381,Commercial,High Stakes,2071,5,2020-07-26,926,High,Pending
CASE-2026-1382,Commercial,Financial,1192,4,2022-12-22,723,High,Pending
CASE-2026-1383,Criminal,Routine,117,4,2025-12-01,472,High,Pending
CASE-2026-1384,Traffic,Public Interest,1786,5,2021-05-07,121,High,Pending
CASE-2026-1385,Family,Routine,2787,4,2018-08-10,236,High,Resolved
CASE-2026-1386,Civil,High Stakes,632,4,2024-07-04,763,High,Pending
CASE-2026-1387,Commercial,Routine,891,2,2023-10-19,508,Medium,Pending
CASE-2026-1388,Civil,High Stakes,1912,5,2021-01-01,782,High,Pending
CASE-2026-1389,Criminal,Public Interest,2144,5,2020-05-14,532,High,Pending
CASE-2026-1390,Commercial,Routine,1129,2,2023-02-23,455,Medium,Pending
CASE-2026-1391,Traffic,Routine,86,2,2026-01-01,176,Medium,Pending
CASE-2026-1392,Traffic,High Stakes,2670,3,2018-12-05,40,High,Pending
CASE-2026-1393,Family,Personal,569,5,2024-09-05,403,High,Pending
CASE-2026-1394,Family,Routine,1907,5,2021-01-06,283,High,Pending
CASE-2026-1395,Criminal,Financial,472,4,2024-12-11,543,High,Pending
CASE-2026-1396,Family,Personal,2872,5,2018-05-17,243,High,Pending
CASE-2026-1397,Commercial,High Stakes,1500,1,2022-02-17,751,Medium,Pending
CASE-2026-1398,Criminal,Financial,68,2,2026-01-19,480,Medium,Pending
CASE-2026-1399,Criminal,Public Interest,1569,3,2021-12-10,532,High,Pending
CASE-2026-1400,Criminal,Routine,3619,4,2016-04-30,244,High,Pending
CASE-2026-1401,Commercial,Personal,1975,5,2020-10-30,608,High,Pending
CASE-2026-1402,Family,High Stakes,3014,5,2017-12-26,378,High,Pending
CASE-2026-1403,Family,High Stakes,214,4,2025-08-26,550,High,Pending
CASE-2026-1404,Criminal,High Stakes,2501,5,2019-05-23,632,High,Pending
CASE-2026-1405,Criminal,Personal,2664,3,2018-12-11,322,High,Pending
CASE-2026-1406,Family,Routine,3584,5,2016-06-04,194,High,Pending
CASE-2026-1407,Civil,Personal,558,4,2024-09-16,526,High,Pending
CASE-2026-1408,Commercial,Routine,1935,3,2020-12-09,491,Medium,Pending
CASE-2026-1409,Traffic,Personal,2271,2,2020-01-08,64,Medium,Resolved
CASE-2026-1410,Traffic,Routine,2966,5,2018-02-12,54,High,Pending
CASE-2026-1411,Commercial,Public Interest,3415,5,2016-11-20,668,High,Pending
CASE-2026-1412,Traffic,Financial,1982,2,2020-10-23,78,Medium,Pending
CASE-2026-1413,Family,Routine,670,3,2024-05-27,336,Medium,Pending
CASE-2026-1414,Traffic,Financial,684,2,2024-05-13,165,Medium,Pending
CASE-2026-1415,Traffic,Routine,1832,2,2021-03-22,72,Medium,Pending
CASE-2026-1416,Commercial,Public Interest,2154,4,2020-05-04,741,High,Pending
CASE-2026-1417,Criminal,Financial,2048,5,2020-08-18,465,High,Pending
CASE-2026-1418,Family,High Stakes,3559,2,2016-06-29,293,High,Resolved
CASE-2026-1419,Civil,Financial,3233,5,2017-05-21,586,High,Pending
CASE-2026-1420,Civil,Routine,2625,3,2019-01-19,407,High,Resolved
CASE-2026-1421,Criminal,High Stakes,1679,2,2021-08-22,500,Medium,Resolved
CASE-2026-1422,Criminal,Personal,2974,5,2018-02-04,331,High,Pending
CASE-2026-1423,Family,Routine,1206,3,2022-12-08,238,Medium,Pending
CASE-2026-1424,Criminal,Public Interest,2292,5,2019-12-18,473,High,Resolved
CASE-2026-1425,Civil,Personal,3111,5,2017-09-20,478,High,Pending
CASE-2026-1426,Criminal,High Stakes,3506,4,2016-08-21,544,High,Pending
CASE-2026-1427,Family,Personal,1658,5,2021-09-12,300,High,Pending
CASE-2026-1428,Commercial,High Stakes,2275,3,2020-01-04,859,Medium,Pending
CASE-2026-1429,Family,Public Interest,3246,5,2017-05-08,345,High,Pending
CASE-2026-1430,Commercial,High Stakes,2124,5,2020-06-03,863,High,Resolved
CASE-2026-1431,Family,Routine,666,1,2024-05-31,192,Low,Resolved
CASE-2026-1432,Traffic,Personal,3476,5,2016-09-20,34,High,Pending
CASE-2026-1433,Civil,High Stakes,3236,3,2017-05-18,678,High,Pending
CASE-2026-1434,Criminal,Personal,2851,4,2018-06-07,333,High,Pending
CASE-2026-1435,Family,High Stakes,3256,2,2017-04-28,286,High,Resolved
CASE-2026-1436,Civil,Financial,131,4,2025-11-17,672,High,Pending
CASE-2026-1437,Commercial,Financial,1342,4,2022-07-25,708,High,Pending
CASE-2026-1438,Family,Routine,1737,4,2021-06-25,302,High,Pending
CASE-2026-1439,Civil,Public Interest,1707,4,2021-07-25,637,High,Pending
CASE-2026-1440,Commercial,High Stakes,3579,5,2016-06-09,802,High,Pending
CASE-2026-1441,Family,High Stakes,466,1,2024-12-17,439,Low,Pending
CASE-2026-1442,Family,Routine,1302,5,2022-09-03,317,High,Pending
CASE-2026-1443,Traffic,Personal,1191,3,2022-12-23,117,Medium,Pending
CASE-2026-1444,Family,Financial,2922,5,2018-03-28,333,High,Resolved
CASE-2026-1445,Criminal,High Stakes,2193,4,2020-03-26,607,High,Pending
CASE-2026-1446,Family,Public Interest,3183,4,2017-07-10,369,High,Pending
CASE-2026-1447,Civil,Financial,2494,3,2019-05-30,529,Medium,Pending
CASE-2026-1448,Civil,Personal,1891,5,2021-01-22,534,High,Pending
CASE-2026-1449,Family,High Stakes,1192,4,2022-12-22,524,High,Pending
CASE-2026-1450,Traffic,High Stakes,2213,2,2020-03-06,111,Medium,Pending
CASE-2026-1451,Traffic,High Stakes,1383,4,2022-06-14,139,High,Pending
CASE-2026-1452,Civil,High Stakes,869,4,2023-11-10,808,High,Pending
CASE-2026-1453,Criminal,Financial,1398,3,2022-05-30,468,High,Pending
CASE-2026-1454,Traffic,Public Interest,2811,5,2018-07-17,126,High,Pending
CASE-2026-1455,Traffic,Routine,640,4,2024-06-26,114,High,Pending
CASE-2026-1456,Commercial,Financial,1588,1,2021-11-21,601,Medium,Pending
CASE-2026-1457,Criminal,Public Interest,570,5,2024-09-04,589,High,Pending
CASE-2026-1458,Criminal,Personal,1838,5,2021-03-16,389,High,Pending
CASE-2026-1459,Criminal,High Stakes,1370,4,2022-06-27,637,High,Pending
CASE-2026-1460,Criminal,Public Interest,3578,3,2016-06-10,420,High,Pending
CASE-2026-1461,Family,Personal,3245,5,2017-05-09,242,High,Pending
CASE-2026-1462,Family,Public Interest,1729,5,2021-07-03,472,High,Pending
CASE-2026-1463,Family,Routine,2944,3,2018-03-06,221,High,Resolved
CASE-2026-1464,Criminal,Personal,1280,2,2022-09-25,365,Medium,Pending
CASE-2026-1465,Civil,Routine,3584,3,2016-06-04,295,High,Pending
CASE-2026-1466,Criminal,Routine,11,3,2026-03-17,378,High,Pending
CASE-2026-1467,Civil,High Stakes,488,2,2024-11-25,751,Medium,Pending
CASE-2026-1468,Commercial,Personal,1441,2,2022-04-17,488,Medium,Pending
CASE-2026-1469,Civil,Personal,32,4,2026-02-24,548,High,Pending
CASE-2026-1470,Civil,Personal,1469,4,2022-03-20,534,High,Pending
CASE-2026-1471,Commercial,Personal,3567,5,2016-06-21,559,High,Pending
CASE-2026-1472,Criminal,High Stakes,1811,5,2021-04-12,613,High,Pending
CASE-2026-1473,Commercial,Public Interest,3426,4,2016-11-09,701,High,Pending
CASE-2026-1474,Criminal,Public Interest,160,3,2025-10-19,543,High,Pending
CASE-2026-1475,Civil,Financial,1823,3,2021-03-31,520,Medium,Pending
CASE-2026-1476,Civil,Financial,2170,5,2020-04-18,591,High,Pending
CASE-2026-1477,Civil,Routine,1644,2,2021-09-26,387,Medium,Pending
CASE-2026-1478,Commercial,Public Interest,3140,5,2017-08-22,706,High,Resolved
CASE-2026-1479,Commercial,Routine,1668,4,2021-09-02,518,High,Pending
CASE-2026-1480,Commercial,Routine,1020,5,2023-06-12,588,High,Pending
CASE-2026-1481,Family,Personal,1994,3,2020-10-11,296,Medium,Pending
CASE-2026-1482,Criminal,Public Interest,1395,3,2022-06-02,454,High,Pending
CASE-2026-1483,Civil,High Stakes,2080,5,2020-07-17,728,High,Pending
CASE-2026-1484,Commercial,Routine,3149,4,2017-08-13,438,High,Resolved
CASE-2026-1485,Family,High Stakes,3346,5,2017-01-28,388,High,Pending
CASE-2026-1486,Criminal,Public Interest,2594,4,2019-02-19,442,High,Pending
CASE-2026-1487,Civil,Routine,2482,3,2019-06-11,357,Medium,Pending
CASE-2026-1488,Family,Financial,2699,5,2018-11-06,348,High,Pending
CASE-2026-1489,Civil,Routine,2392,5,2019-09-09,461,High,Pending
CASE-2026-1490,Commercial,Routine,1838,4,2021-03-16,555,High,Pending
CASE-2026-1491,Commercial,Routine,1952,2,2020-11-22,459,Medium,Pending
CASE-2026-1492,Family,Public Interest,1145,5,2023-02-07,405,High,Pending
CASE-2026-1493,Criminal,Personal,3468,5,2016-09-28,342,High,Pending
CASE-2026-1494,Commercial,Personal,2471,3,2019-06-22,507,Medium,Pending
CASE-2026-1495,Civil,Personal,1639,3,2021-10-01,430,Medium,Pending
CASE-2026-1496,Commercial,High Stakes,328,5,2025-05-04,975,High,Pending
CASE-2026-1497,Civil,Routine,1650,2,2021-09-20,382,Medium,Pending
CASE-2026-1498,Civil,Personal,2228,3,2020-02-20,396,Medium,Resolved
CASE-2026-1499,Commercial,High Stakes,734,4,2024-03-24,954,High,Pending
CASE-2026-1500,Family,Routine,2994,5,2018-01-15,202,High,Pending
CASE-2026-1501,Family,Routine,578,5,2024-08-27,358,High,Pending
CASE-2026-1502,Traffic,High Stakes,2930,4,2018-03-20,146,High,Pending
CASE-2026-1503,Criminal,Routine,2352,5,2019-10-19,355,High,Pending
CASE-2026-1504,Family,Personal,3380,3,2016-12-25,230,High,Pending
CASE-2026-1505,Commercial,Routine,2999,5,2018-01-10,473,High,Pending
CASE-2026-1506,Commercial,Routine,3207,2,2017-06-16,408,High,Pending
CASE-2026-1507,Civil,Financial,2088,2,2020-07-09,516,Medium,Pending
CASE-2026-1508,Traffic,Personal,2360,3,2019-10-11,81,Medium,Pending
CASE-2026-1509,Traffic,Routine,111,5,2025-12-07,179,High,Pending
CASE-2026-1510,Traffic,Public Interest,1105,5,2023-03-19,205,High,Pending
CASE-2026-1511,Civil,Financial,480,4,2024-12-03,671,High,Resolved
CASE-2026-1512,Criminal,Financial,1930,5,2020-12-14,508,High,Pending
CASE-2026-1513,Criminal,Public Interest,1620,5,2021-10-20,538,High,Pending
CASE-2026-1514,Commercial,Personal,370,3,2025-03-23,602,Medium,Pending
CASE-2026-1515,Civil,Routine,3327,4,2017-02-16,360,High,Pending
CASE-2026-1516,Commercial,Public Interest,3270,5,2017-04-14,750,High,Pending
CASE-2026-1517,Commercial,Routine,2655,2,2018-12-20,395,High,Pending
CASE-2026-1518,Traffic,Public Interest,2952,2,2018-02-26,67,High,Pending
CASE-2026-1519,Criminal,Financial,1495,3,2022-02-22,498,High,Pending
CASE-2026-1520,Family,Public Interest,2787,3,2018-08-10,307,High,Pending
CASE-2026-1521,Criminal,Personal,729,4,2024-03-29,481,High,Pending
CASE-2026-1522,Family,Financial,1633,1,2021-10-07,306,Medium,Pending
CASE-2026-1523,Civil,Personal,27,3,2026-03-01,557,Medium,Pending
CASE-2026-1524,Traffic,Personal,3567,3,2016-06-21,30,High,Resolved
CASE-2026-1525,Civil,High Stakes,1377,2,2022-06-20,711,Medium,Pending
CASE-2026-1526,Criminal,Personal,1261,5,2022-10-14,400,High,Resolved
CASE-2026-1527,Commercial,Routine,1683,2,2021-08-18,444,Medium,Pending
CASE-2026-1528,Family,Personal,3096,5,2017-10-05,315,High,Pending
CASE-2026-1529,Family,Financial,2958,3,2018-02-20,285,High,Pending
CASE-2026-1530,Civil,High Stakes,355,5,2025-04-07,864,High,Resolved
CASE-2026-1531,Civil,Public Interest,3107,4,2017-09-24,585,High,Pending
CASE-2026-1532,Civil,Routine,3494,3,2016-09-02,341,High,Pending
CASE-2026-1533,Criminal,Financial,3095,4,2017-10-06,435,High,Pending
CASE-2026-1534,Commercial,Personal,2876,3,2018-05-13,490,High,Pending
CASE-2026-1535,Civil,High Stakes,1606,5,2021-11-03,742,High,Pending
CASE-2026-1536,Traffic,High Stakes,1120,2,2023-03-04,152,Medium,Pending
CASE-2026-1537,Civil,High Stakes,3518,5,2016-08-09,636,High,Pending
CASE-2026-1538,Criminal,Routine,49,3,2026-02-07,360,High,Pending
CASE-2026-1539,Family,High Stakes,2133,5,2020-05-25,457,High,Pending
CASE-2026-1540,Family,Financial,3406,2,2016-11-29,170,High,Pending
CASE-2026-1541,Commercial,Financial,2971,3,2018-02-07,642,High,Resolved
CASE-2026-1542,Traffic,Routine,1988,5,2020-10-17,87,High,Resolved
CASE-2026-1543,Traffic,Routine,1876,4,2021-02-06,83,High,Resolved
CASE-2026-1544,Civil,Personal,983,3,2023-07-19,529,Medium,Pending
CASE-2026-1545,Commercial,High Stakes,2561,5,2019-03-24,838,High,Pending
CASE-2026-1546,Civil,High Stakes,259,4,2025-07-12,842,High,Pending
CASE-2026-1547,Family,Financial,3612,2,2016-05-07,171,High,Pending
CASE-2026-1548,Family,Financial,1448,3,2022-04-10,387,Medium,Resolved
CASE-2026-1549,Criminal,Routine,2441,4,2019-07-22,330,High,Pending
CASE-2026-1550,Commercial,Routine,3226,2,2017-05-28,393,High,Pending
CASE-2026-1551,Commercial,Routine,1801,1,2021-04-22,429,Medium,Pending
CASE-2026-1552,Civil,Public Interest,1334,2,2022-08-02,625,Medium,Pending
CASE-2026-1553,Criminal,High Stakes,3478,4,2016-09-18,460,High,Pending
CASE-2026-1554,Family,Routine,3505,4,2016-08-22,192,High,Pending
CASE-2026-1555,Traffic,Routine,3605,5,2016-05-14,87,High,Pending
CASE-2026-1556,Family,Public Interest,206,1,2025-09-03,331,Low,Pending
CASE-2026-1557,Traffic,High Stakes,2871,3,2018-05-18,70,High,Pending
CASE-2026-1558,Family,Personal,2788,5,2018-08-09,236,High,Pending
CASE-2026-1559,Commercial,Routine,2209,3,2020-03-10,493,Medium,Pending
CASE-2026-1560,Commercial,Personal,2357,3,2019-10-14,539,Medium,Pending
CASE-2026-1561,Family,Financial,2738,5,2018-09-28,297,High,Pending
CASE-2026-1562,Civil,High Stakes,40,4,2026-02-16,867,High,Pending
CASE-2026-1563,Traffic,Public Interest,2265,5,2020-01-14,136,High,Pending
CASE-2026-1564,Family,Financial,22,3,2026-03-06,415,Medium,Pending
CASE-2026-1565,Commercial,High Stakes,2158,4,2020-04-30,852,High,Resolved
CASE-2026-1566,Civil,High Stakes,3315,2,2017-02-28,630,High,Pending
CASE-2026-1567,Family,High Stakes,2680,3,2018-11-25,426,High,Resolved
CASE-2026-1568,Civil,Routine,114,2,2025-12-04,470,Medium,Pending
CASE-2026-1569,Civil,High Stakes,2015,4,2020-09-20,765,High,Resolved
CASE-2026-1570,Commercial,High Stakes,2033,4,2020-09-02,829,High,Resolved
CASE-2026-1571,Civil,Routine,2317,4,2019-11-23,370,High,Pending
CASE-2026-1572,Civil,Public Interest,3596,3,2016-05-23,523,High,Pending
CASE-2026-1573,Civil,Routine,3474,4,2016-09-22,367,High,Pending
CASE-2026-1574,Traffic,Public Interest,3445,2,2016-10-21,30,High,Pending
CASE-2026-1575,Traffic,Public Interest,1569,4,2021-12-10,149,High,Resolved
CASE-2026-1576,Civil,Routine,3539,2,2016-07-19,289,High,Pending
CASE-2026-1577,Commercial,High Stakes,3153,5,2017-08-09,839,High,Pending
CASE-2026-1578,Commercial,Financial,1754,5,2021-06-08,755,High,Pending
CASE-2026-1579,Civil,Financial,1730,2,2021-07-02,474,Medium,Pending
CASE-2026-1580,Traffic,High Stakes,2444,3,2019-07-19,55,Medium,Pending
CASE-2026-1581,Traffic,Financial,1539,1,2022-01-09,30,Medium,Resolved
CASE-2026-1582,Criminal,Financial,1004,3,2023-06-28,524,High,Pending
CASE-2026-1583,Civil,Personal,1247,4,2022-10-28,542,High,Pending
CASE-2026-1584,Family,Public Interest,2458,2,2019-07-05,266,Medium,Resolved
CASE-2026-1585,Criminal,Financial,726,4,2024-04-01,506,High,Pending
CASE-2026-1586,Family,Personal,2841,4,2018-06-17,277,High,Resolved
CASE-2026-1587,Family,Public Interest,3560,5,2016-06-28,303,High,Pending
CASE-2026-1588,Traffic,Personal,2356,5,2019-10-15,79,High,Pending
CASE-2026-1589,Civil,High Stakes,3350,5,2017-01-24,709,High,Pending
CASE-2026-1590,Commercial,Public Interest,3107,5,2017-09-24,737,High,Pending
CASE-2026-1591,Civil,Routine,2653,4,2018-12-22,364,High,Resolved
CASE-2026-1592,Family,Routine,1653,3,2021-09-17,198,Medium,Pending
CASE-2026-1593,Civil,Public Interest,207,5,2025-09-02,738,High,Pending
CASE-2026-1594,Family,High Stakes,1,2,2026-03-27,456,Medium,Pending
CASE-2026-1595,Traffic,Personal,2431,5,2019-08-01,128,High,Pending
CASE-2026-1596,Family,Financial,677,2,2024-05-20,327,Medium,Pending
CASE-2026-1597,Criminal,Routine,2608,4,2019-02-05,295,High,Pending
CASE-2026-1598,Civil,Financial,1340,5,2022-07-27,631,High,Pending
CASE-2026-1599,Criminal,Personal,2660,4,2018-12-15,362,High,Pending
CASE-2026-1600,Criminal,Routine,2108,4,2020-06-19,308,High,Pending
CASE-2026-1601,Commercial,Financial,1247,5,2022-10-28,715,High,Resolved
CASE-2026-1602,Civil,Financial,1101,4,2023-03-23,581,High,Resolved
CASE-2026-1603,Commercial,Financial,467,2,2024-12-16,701,Medium,Pending
CASE-2026-1604,Criminal,Public Interest,1485,2,2022-03-04,515,Medium,Pending
CASE-2026-1605,Criminal,Public Interest,1378,2,2022-06-19,440,Medium,Pending
CASE-2026-1606,Criminal,Public Interest,344,5,2025-04-18,651,High,Pending
CASE-2026-1607,Family,Financial,1256,4,2022-10-19,419,High,Resolved
CASE-2026-1608,Family,Routine,1498,5,2022-02-19,360,High,Pending
CASE-2026-1609,Commercial,High Stakes,306,4,2025-05-26,924,High,Pending
CASE-2026-1610,Family,Routine,885,1,2023-10-25,209,Low,Resolved
CASE-2026-1611,Family,Public Interest,781,1,2024-02-06,322,Low,Pending
CASE-2026-1612,Commercial,Personal,3233,4,2017-05-21,460,High,Pending
CASE-2026-1613,Civil,High Stakes,37,5,2026-02-19,892,High,Resolved
CASE-2026-1614,Commercial,Personal,2927,5,2018-03-23,553,High,Pending
CASE-2026-1615,Commercial,Personal,961,1,2023-08-10,506,Low,Pending
CASE-2026-1616,Family,Personal,3555,2,2016-07-03,145,High,Pending
CASE-2026-1617,Civil,Financial,278,3,2025-06-23,610,Medium,Pending
CASE-2026-1618,Criminal,High Stakes,70,3,2026-01-17,670,High,Pending
CASE-2026-1619,Civil,Public Interest,719,2,2024-04-08,599,Medium,Pending
CASE-2026-1620,Commercial,High Stakes,2226,3,2020-02-22,800,Medium,Pending
CASE-2026-1621,Civil,Public Interest,591,5,2024-08-14,712,High,Pending
CASE-2026-1622,Criminal,High Stakes,2732,5,2018-10-04,585,High,Pending
CASE-2026-1623,Traffic,High Stakes,138,1,2025-11-10,134,Low,Pending
CASE-2026-1624,Family,Routine,2928,2,2018-03-22,154,High,Pending
CASE-2026-1625,Civil,Financial,1052,2,2023-05-11,600,Medium,Pending
CASE-2026-1626,Traffic,High Stakes,877,1,2023-11-02,121,Low,Pending
CASE-2026-1627,Commercial,Routine,917,4,2023-09-23,596,High,Pending
CASE-2026-1628,Family,Public Interest,3545,5,2016-07-13,379,High,Pending
CASE-2026-1629,Civil,Personal,3210,4,2017-06-13,371,High,Pending
CASE-2026-1630,Traffic,High Stakes,1000,3,2023-07-02,176,Medium,Pending
CASE-2026-1631,Criminal,High Stakes,227,2,2025-08-13,583,Medium,Pending
CASE-2026-1632,Criminal,Financial,2068,3,2020-07-29,389,High,Pending
CASE-2026-1633,Family,Financial,1561,1,2021-12-18,237,Medium,Pending
CASE-2026-1634,Civil,High Stakes,820,3,2023-12-29,720,Medium,Pending
CASE-2026-1635,Family,Public Interest,2995,3,2018-01-14,276,High,Pending
CASE-2026-1636,Family,Financial,978,2,2023-07-24,371,Medium,Pending
CASE-2026-1637,Criminal,Financial,2161,4,2020-04-27,474,High,Pending
CASE-2026-1638,Traffic,Public Interest,2031,4,2020-09-04,129,High,Pending
CASE-2026-1639,Commercial,Routine,2008,5,2020-09-27,530,High,Pending
CASE-2026-1640,Civil,High Stakes,2276,5,2020-01-03,732,High,Resolved
CASE-2026-1641,Criminal,Routine,3271,4,2017-04-13,298,High,Pending
CASE-2026-1642,Family,Public Interest,1526,4,2022-01-22,422,High,Pending
CASE-2026-1643,Traffic,Personal,551,5,2024-09-23,184,High,Pending
CASE-2026-1644,Criminal,Personal,852,5,2023-11-27,419,High,Resolved
CASE-2026-1645,Family,Routine,2080,3,2020-07-17,214,Medium,Pending
CASE-2026-1646,Family,Routine,1527,3,2022-01-21,235,Medium,Pending
CASE-2026-1647,Criminal,Financial,2758,4,2018-09-08,412,High,Pending
CASE-2026-1648,Traffic,Public Interest,131,5,2025-11-17,220,High,Resolved
CASE-2026-1649,Civil,Personal,2854,3,2018-06-04,390,High,Pending
CASE-2026-1650,Traffic,Personal,945,5,2023-08-26,164,High,Pending
CASE-2026-1651,Criminal,High Stakes,404,4,2025-02-17,695,High,Pending
CASE-2026-1652,Criminal,Personal,127,5,2025-11-21,549,High,Pending
CASE-2026-1653,Traffic,Public Interest,2824,5,2018-07-04,158,High,Pending
CASE-2026-1654,Civil,Personal,255,4,2025-07-16,567,High,Pending
CASE-2026-1655,Civil,Routine,609,2,2024-07-27,411,Medium,Pending
CASE-2026-1656,Civil,Routine,2298,2,2019-12-12,320,Medium,Pending
CASE-2026-1657,Family,Personal,551,4,2024-09-23,345,High,Pending
CASE-2026-1658,Traffic,Routine,3504,4,2016-08-23,30,High,Pending
CASE-2026-1659,Traffic,Public Interest,2363,4,2019-10-08,137,High,Pending
CASE-2026-1660,Civil,Public Interest,2868,4,2018-05-21,555,High,Pending
CASE-2026-1661,Commercial,High Stakes,1380,5,2022-06-17,903,High,Resolved
CASE-2026-1662,Family,Public Interest,462,4,2024-12-21,474,High,Resolved
CASE-2026-1663,Civil,Public Interest,501,2,2024-11-12,621,Medium,Pending
CASE-2026-1664,Civil,High Stakes,871,1,2023-11-08,664,Low,Pending
CASE-2026-1665,Commercial,Public Interest,2427,4,2019-08-05,706,High,Pending
CASE-2026-1666,Civil,Personal,229,5,2025-08-11,601,High,Pending
CASE-2026-1667,Criminal,Financial,2892,3,2018-04-27,435,High,Pending
CASE-2026-1668,Commercial,Routine,808,5,2024-01-10,546,High,Pending
CASE-2026-1669,Traffic,Public Interest,837,3,2023-12-12,136,Medium,Resolved
CASE-2026-1670,Criminal,High Stakes,3560,4,2016-06-28,459,High,Pending
CASE-2026-1671,Commercial,Public Interest,694,3,2024-05-03,764,Medium,Resolved
CASE-2026-1672,Commercial,Personal,978,1,2023-07-24,479,Low,Pending
CASE-2026-1673,Traffic,Routine,1790,4,2021-05-03,70,High,Pending
CASE-2026-1674,Criminal,Personal,2690,5,2018-11-15,420,High,Pending
CASE-2026-1675,Criminal,Routine,1693,3,2021-08-08,315,High,Resolved
CASE-2026-1676,Traffic,High Stakes,2695,3,2018-11-10,81,High,Resolved
CASE-2026-1677,Civil,Public Interest,1586,5,2021-11-23,679,High,Pending
CASE-2026-1678,Criminal,Personal,1791,4,2021-05-02,340,High,Pending
CASE-2026-1679,Family,High Stakes,3180,5,2017-07-13,454,High,Resolved
CASE-2026-1680,Civil,Public Interest,3573,4,2016-06-15,553,High,Pending
CASE-2026-1681,Civil,Financial,3599,3,2016-05-20,441,High,Pending
CASE-2026-1682,Family,Routine,2556,5,2019-03-29,231,High,Pending
CASE-2026-1683,Family,High Stakes,2994,5,2018-01-15,405,High,Pending
CASE-2026-1684,Civil,Financial,287,3,2025-06-14,639,Medium,Pending
CASE-2026-1685,Civil,Public Interest,3090,5,2017-10-11,597,High,Pending
CASE-2026-1686,Civil,Personal,72,1,2026-01-15,454,Low,Pending
CASE-2026-1687,Commercial,Public Interest,2430,5,2019-08-02,778,High,Resolved
CASE-2026-1688,Family,Routine,1586,1,2021-11-23,170,Medium,Resolved
CASE-2026-1689,Commercial,Routine,1671,2,2021-08-30,408,Medium,Pending
CASE-2026-1690,Criminal,Personal,615,4,2024-07-21,478,High,Pending
CASE-2026-1691,Criminal,Routine,1727,4,2021-07-05,383,High,Resolved
CASE-2026-1692,Commercial,Personal,3642,5,2016-04-07,525,High,Pending
CASE-2026-1693,Civil,Routine,1056,3,2023-05-07,455,Medium,Resolved
CASE-2026-1694,Criminal,Public Interest,2239,4,2020-02-09,510,High,Pending
CASE-2026-1695,Civil,Financial,1740,4,2021-06-22,568,High,Pending
CASE-2026-1696,Civil,Financial,2244,3,2020-02-04,489,Medium,Pending
CASE-2026-1697,Commercial,Financial,3293,3,2017-03-22,605,High,Pending
CASE-2026-1698,Criminal,Public Interest,1896,4,2021-01-17,529,High,Pending
CASE-2026-1699,Civil,Financial,1650,5,2021-09-20,614,High,Pending
CASE-2026-1700,Criminal,Financial,1681,3,2021-08-20,466,High,Pending
CASE-2026-1701,Traffic,High Stakes,1151,2,2023-02-01,123,Medium,Pending
CASE-2026-1702,Civil,High Stakes,12,4,2026-03-16,867,High,Resolved
